n_present,n_absent,mean_present,mean_absent,median_present,median_absent,mannwhitney_u,mannwhitney_p,rank_biserial,pointbiserial_r,pointbiserial_p,cohens_d,code,theme,outcome,mw_p_fdr
83,84,562.8616323253011,649.8816495476191,522.004381,576.9855885,2785.0,0.024951422900125825,0.20109007458405048,-0.12449594159370295,0.10893443935136801,-0.24944148578459432,FOOT,Starting footholds / forced lines,solve time (raw),0.039209378843054865
38,129,462.0174575263157,649.2318655736433,433.3522035,561.328202,1724.0,0.0055503903422291275,0.29661362709098327,-0.2245863011865077,0.0035243753046320906,-0.54643106809517,CLUE,Clue magnitude,solve time (raw),0.020351431254840135
25,142,398.9352422,643.1985421830987,414.059398,569.005977,957.0,0.0002454236742275655,0.4608450704225352,-0.24936169235222871,0.0011550573343256639,-0.7173916426495132,PROP,Constraint propagation / chaining,solve time (raw),0.0013498302082516104
22,145,631.0580845,602.9261805931034,618.779245,530.670797,1735.0,0.5091846694390674,-0.08777429467084641,0.027223991902089326,0.7269137772581848,0.08004195184378769,AMBIG,Combinatorial ambiguity / overlap reasoning,solve time (raw),0.5091846694390674
26,141,745.6118208076924,581.0047283971631,623.686548,523.446024,2381.0,0.01566164815355629,-0.29896344789961815,0.17076627855019164,0.02735290149281222,0.47515194527045457,GUESS,Guessing / certainty,solve time (raw),0.03710227017128942
24,143,692.6051609583334,592.2031481258741,616.6108275,530.670797,2239.0,0.01714032468133442,-0.30477855477855487,0.10077977843017943,0.19501625710113565,0.28702300930237756,HINT,Hint usage,solve time (raw),0.03710227017128942
12,155,665.9076094166667,602.0431144,592.6199945000001,539.778342,1067.0,0.39761599085730437,-0.14731182795698916,0.04719253371059193,0.5447678634997999,0.18184492533735472,ERR,Mistakes / error recovery,solve time (raw),0.43737758994303483
42,125,744.6822972142858,560.247340496,642.4299755,530.670797,3190.0,0.037325153202489435,-0.21523809523809523,0.22897086770801087,0.0029167688148926904,0.5388831424197478,LEARN,Learning / practice / fatigue,solve time (raw),0.05132208565342297
7,160,696.5952435714286,602.696295875,659.224063,539.936335,697.0,0.2822461234889963,-0.24464285714285716,0.05384273059319191,0.4895172619021489,0.267453758740925,LOAD,Cognitive load / tracking,solve time (raw),0.3449674842643288
14,153,331.3196158571428,631.8241792352942,303.1985045,559.018055,395.0,9.588274042472194e-05,0.6311858076563959,-0.2382967640074743,0.001927753341697857,-0.8800418998472898,VIS,Visual / spatial layout,solve time (raw),0.0010547101446719415
