participant_id,skill_nonogram,skill_puzzles,played_before_ord,puzzle_played_frequency_ord,n_nonogram_sizes,n_logic_puzzles,z_skill_nonogram,z_skill_puzzles,z_played_before_ord,z_puzzle_played_frequency_ord,z_n_nonogram_sizes,z_n_logic_puzzles,exp_zmean,exp_zmean_z,exp_pca,exp_fa,expertise_tier
P001,6,4,2,2,4,3,0.5552814101869971,-0.7664198017426261,1.2751534261266766,0.7018712458648384,2.9628440579007878,0.8939499510240987,0.9371133815601288,1.2575866809708056,1.1722743483149873,0.8218650411681252,expert
P002,7,6,1,1,1,3,0.9328727691141551,0.20772125467790817,0.1912730139190015,-0.5880542870759455,-0.5717769234545381,0.8939499510240987,0.17766429636744663,0.23842179312793724,0.2533677067225688,0.5744183642291399,expert
P003,2,2,0,0,1,3,-0.9550840255216348,-1.7405608581631604,-0.8926073982886735,-1.8779798200167295,-0.5717769234545381,0.8939499510240987,-0.8573431790701064,-1.1505367271831597,-1.229863413069363,-1.2002135419829416,novice
P004,1,5,0,0,1,1,-1.3326753844487929,-0.27934927353235894,-0.8926073982886735,-1.8779798200167295,-0.5717769234545381,-1.3999593572641549,-1.0590580261675415,-1.4212338595210574,-1.3850339707884687,-1.312136960559533,novice
P005,8,7,2,2,3,3,1.310464128041313,0.6947917828881753,1.2751534261266766,0.7018712458648384,1.7846370641156792,0.8939499510240987,1.110144599676797,1.4897909793806816,1.4739456164494054,1.4125528735491109,expert
P006,6,4,2,1,3,1,0.5552814101869971,-0.7664198017426261,1.2751534261266766,-0.5880542870759455,1.7846370641156792,-1.3999593572641549,0.14343974239110435,0.19249315301913858,0.2637047307979854,0.46460907161251863,intermediate
P007,1,5,0,1,1,3,-1.3326753844487929,-0.27934927353235894,-0.8926073982886735,-0.5880542870759455,-0.5717769234545381,0.8939499510240987,-0.46175221929603505,-0.6196618811788303,-0.713909102810483,-1.0650764424763757,novice
P008,5,8,0,2,1,2,0.17769005125983908,1.1818623110984425,-0.8926073982886735,0.7018712458648384,-0.5717769234545381,-0.2530047031200281,0.05733909722664673,0.07694787673512075,0.09978866702862989,0.14567360776179203,intermediate
P009,8,8,0,3,1,4,1.310464128041313,1.1818623110984425,-0.8926073982886735,1.9917967788056223,-0.5717769234545381,2.0409046051682256,0.843440583561732,1.1318797329642223,1.0685535722111554,1.0767416498203102,expert
P010,6,8,2,3,1,3,0.5552814101869971,1.1818623110984425,1.2751534261266766,1.9917967788056223,-0.5717769234545381,0.8939499510240987,0.8877111589645498,1.191289925029573,1.1886708644262463,0.9360443835390844,expert
P011,5,5,1,1,1,2,0.17769005125983908,-0.27934927353235894,0.1912730139190015,-0.5880542870759455,-0.5717769234545381,-0.2530047031200281,-0.22053702033400505,-0.2959560976189486,-0.2569453625757048,-0.027612330271720414,intermediate
P012,3,3,1,1,2,2,-0.5774926665944768,-1.2534903299528932,0.1912730139190015,-0.5880542870759455,0.6064300703305705,-0.2530047031200281,-0.31238981708229524,-0.41922064177502466,-0.4450535219755427,-0.5366740733627524,intermediate
P013,9,9,2,2,3,3,1.688055486968471,1.6689328393087095,1.2751534261266766,0.7018712458648384,1.7846370641156792,0.8939499510240987,1.335433335568079,1.7921237805172396,1.800285179653413,1.8038075601208052,expert
P014,5,7,0,2,1,2,0.17769005125983908,0.6947917828881753,-0.8926073982886735,0.7018712458648384,-0.5717769234545381,-0.2530047031200281,-0.02383932414173116,-0.031991877518679185,-0.013774441705950491,0.06404751847183832,intermediate
P015,1,2,0,1,1,1,-1.3326753844487929,-1.7405608581631604,-0.8926073982886735,-0.5880542870759455,-0.5717769234545381,-1.3999593572641549,-1.0876057014492109,-1.4595442464105688,-1.451244967202224,-1.4387538888009022,novice
