term,coef,se,p_value
Intercept,3.389159276900896,0.12095832260011191,9.474405968780987e-173
C(order)[T.2],0.04926995561983291,0.17996321291505737,0.7842552863762586
C(order)[T.3],-0.4386780951352242,0.25093866304699114,0.08043828366864884
conflicts_z,0.16113637568875733,0.0610194791882761,0.0082725992744864
exp_zmean_z,0.01820201044332482,0.11446835198296129,0.8736582572801609
conflicts_z:exp_zmean_z,-0.14724480726663575,0.0658732089219312,0.02539923037868264
