behaviour,expertise_coef,expertise_p,raw_spearman_vs_conflicts,raw_p,adjusted_spearman_vs_conflicts,adjusted_p,n_puzzles
time_to_solve,-150.0342156660682,1.0904437734506272e-09,0.35856858280031817,0.4851979632652574,0.7171371656006363,0.10870095132492351,6
n_hints,-2.2293458033098164,8.097219327273576e-10,0.0,1.0,0.0,1.0,6
n_incorrect_submissions,-0.03478512918067164,0.5868894665456138,-0.7171371656006363,0.10870095132492351,-0.7171371656006363,0.10870095132492351,6
n_actions,-11.349247419162046,0.017051762607527565,0.4780914437337575,0.3375018565403645,0.5976143046671969,0.210295383118347,6
