puzzle_id,M0_raw,M1_within_participant,M2_residualized,M3_mixed_emm,mini_conflicts,log_mini_conflicts,glu_conflicts,mini_decisions,mini_propagations
0,3.586206896551724,3.583743842364532,3.5474691221491685,3.5893093247082395,0,0.0,0,4,313
1,3.135135135135135,3.1525540318643768,3.13230466212742,3.130803520202614,0,0.0,0,2,307
2,2.4482758620689653,2.5665024630541873,2.455428931955682,2.4226661061526866,4,1.6094379124341003,4,8,417
3,4.0588235294117645,3.834589008017,4.0159898869030926,3.9924432976997153,15,2.772588722239781,16,31,1063
4,3.5806451612903225,3.5464802161131415,3.6037912964620373,3.6147533876540443,15,2.772588722239781,33,40,1133
5,2.813953488372093,2.9228243021346474,2.85487203691202,2.8543331685196986,4,1.6094379124341003,4,13,453
