,skill_nonogram,skill_puzzles,played_before_ord,puzzle_played_frequency_ord,n_nonogram_sizes,n_logic_puzzles
skill_nonogram,1.0,0.7141071450455371,0.7020424349427478,0.5091612649385585,0.55031839590043,0.37138132445122396
skill_puzzles,0.7141071450455371,1.0,0.43078685032137715,0.6405523705029643,0.21050416540243658,0.43495021847194487
played_before_ord,0.7020424349427478,0.43078685032137715,1.0,0.39587150543760996,0.7275916429680258,0.25436606570576986
puzzle_played_frequency_ord,0.5091612649385585,0.6405523705029643,0.39587150543760996,1.0,0.28598113756470056,0.389593227693545
n_nonogram_sizes,0.55031839590043,0.21050416540243658,0.7275916429680258,0.28598113756470056,1.0,0.26526620870886086
n_logic_puzzles,0.37138132445122396,0.43495021847194487,0.25436606570576986,0.389593227693545,0.26526620870886086,1.0
