outcome,column,spearman_rho,spearman_p,pearson_r,pearson_p,n
Mean difficulty rating,mean_difficulty,-0.07641263647305065,0.5356930217628874,0.024839848573559788,0.8406453829636169,68
Mean solve time (s),mean_time,-0.5597804952540618,8.44085601804974e-07,-0.44204938216346884,0.00018030510084114722,67
Mean hints used,mean_hints,-0.6044427783026866,4.8116644701995316e-08,-0.5110051485724453,8.479715979487696e-06,68
Mean incorrect subs,mean_incorrect,-0.024573444558215033,0.8423324094132668,-0.05173897804665877,0.6752005232600474,68
Solve rate,solve_rate,0.34088693442463813,0.00444607194954674,0.31347342383219473,0.0092409748859765,68
Mean rating change,mean_rating_change,-0.0231810387663984,0.8534249692772657,-0.017198110331179545,0.8909844280862199,66
Mean actions,mean_actions,-0.18509716339798168,0.13075197943977088,-0.23149100026439975,0.0575091661096994,68
Mean pause count,mean_pause_count,-0.5321318189212617,3.0090809401142173e-06,-0.5307774873479948,3.2225062863721293e-06,68
Mean pause freq/min,mean_pause_freq,0.14120880725529997,0.2507145354002278,0.15695500220488956,0.20116923268479137,68
