dimension,pca1_loading,fa1_loading,corr_with_zmean
skill_nonogram,0.48413565216923576,0.9129652940208896,0.8653176096487327
skill_puzzles,0.42718609084398856,0.7333309554271326,0.7717209987687739
played_before_ord,0.43943156728318145,0.7504356346903273,0.7896611068321104
puzzle_played_frequency_ord,0.39345834594024043,0.5915132681940729,0.7245433816338648
n_nonogram_sizes,0.37187972587093127,0.5993480056045991,0.683718597187651
n_logic_puzzles,0.31132075301733114,0.4325588611482508,0.6108169684481198
