dimension,pca1_loading,corr_with_composite
skill_nonogram,0.4841439317604831,0.865458455960138
skill_puzzles,0.42743742867450896,0.7719198119017295
played_before_ord,0.4392725940789799,0.7895902959449187
puzzle_played_frequency_ord,0.39421694305484856,0.7257294349892118
n_nonogram_sizes,0.3715561560182877,0.6834395218256927
n_logic_puzzles,0.310613120669672,0.60988172006927
