puzzle_id,predictor,coef,se,t,p_value,n,r_squared,adj_r_squared,underpowered,breusch_pagan_p,shapiro_p,max_cooks_d,p_fdr
0,pause_count,0.025070112107118053,0.03018393499950617,0.8305779914887909,0.4155555911582594,26,0.20125343113622218,0.049111227543121694,False,0.7043759458699974,0.12842604089605308,0.4953412150184356,0.9510643711199244
0,time_to_solve_sec,-0.0006359138724510039,0.0014496784397568594,-0.4386585707639134,0.6653887403095812,26,0.20125343113622218,0.049111227543121694,False,0.7043759458699974,0.12842604089605308,0.4953412150184356,0.9510643711199244
0,error_count,-0.002322259157091538,0.022389033048897212,-0.10372306620030303,0.9183733231983809,26,0.20125343113622218,0.049111227543121694,False,0.7043759458699974,0.12842604089605308,0.4953412150184356,0.9617595273639358
0,hint_count,0.028820969378815203,0.05669941347760423,0.5083115963836069,0.6165331587119396,26,0.20125343113622218,0.049111227543121694,False,0.7043759458699974,0.12842604089605308,0.4953412150184356,0.9510643711199244
1,pause_count,-0.008009311626570446,0.02317324225626859,-0.34562757934331995,0.7325141266213778,30,0.19619872515635295,0.06759052118136943,False,0.31341418680478006,0.3014639223272234,0.34164443220733554,0.9510643711199244
1,time_to_solve_sec,0.0035191693257690185,0.001971447585508857,1.7850686732108447,0.08639020509014518,30,0.19619872515635295,0.06759052118136943,False,0.31341418680478006,0.3014639223272234,0.34164443220733554,0.9418685682930683
1,error_count,-0.006110564137451452,0.019199491735750873,-0.3182669740195846,0.7529259604699402,30,0.19619872515635295,0.06759052118136943,False,0.31341418680478006,0.3014639223272234,0.34164443220733554,0.9510643711199244
1,hint_count,-0.05419788934349823,0.06067075970650454,-0.8933115327001196,0.38020946382106197,30,0.19619872515635295,0.06759052118136943,False,0.31341418680478006,0.3014639223272234,0.34164443220733554,0.9510643711199244
2,pause_count,0.04337138590155848,0.027804828572580348,1.5598508650518725,0.13373933525384188,26,0.12469425581645754,-0.042030647837550505,False,0.5592114909144683,0.28104954683595434,1.5215008280216364,0.9418685682930683
2,time_to_solve_sec,-0.0021726193781577813,0.0021058952833492546,-1.0316844314796163,0.31395618943102277,26,0.12469425581645754,-0.042030647837550505,False,0.5592114909144683,0.28104954683595434,1.5215008280216364,0.9418685682930683
2,error_count,-0.014740449647126813,0.03582873037696624,-0.4114142335504925,0.6849373452391745,26,0.12469425581645754,-0.042030647837550505,False,0.5592114909144683,0.28104954683595434,1.5215008280216364,0.9510643711199244
2,hint_count,-0.16643513241220365,0.13781988954138438,-1.2076278174800503,0.24061606221021284,26,0.12469425581645754,-0.042030647837550505,False,0.5592114909144683,0.28104954683595434,1.5215008280216364,0.9418685682930683
3,pause_count,0.015770838219599223,0.0130372370753887,1.2096764159770426,0.23728753161385727,31,0.1119782160663555,-0.024640519923435855,False,0.3068315137559101,0.2572635434605348,0.5384379664116853,0.9418685682930683
3,time_to_solve_sec,-0.0006436253481448323,0.0008265028815869305,-0.7787333383630032,0.4431669961563708,31,0.1119782160663555,-0.024640519923435855,False,0.3068315137559101,0.2572635434605348,0.5384379664116853,0.9510643711199244
3,error_count,-0.004949888964409087,0.00945162567149818,-0.5237076812442656,0.6049176707411997,31,0.1119782160663555,-0.024640519923435855,False,0.3068315137559101,0.2572635434605348,0.5384379664116853,0.9510643711199244
3,hint_count,-0.059607424553876215,0.03738309477782543,-1.5945021381491833,0.12290907020974232,31,0.1119782160663555,-0.024640519923435855,False,0.3068315137559101,0.2572635434605348,0.5384379664116853,0.9418685682930683
4,pause_count,0.0012540279738551194,0.025894392625164804,0.0484285533168453,0.9617595273639358,30,0.07948445851439878,-0.06779802812329727,False,0.6413227062200613,0.537076979094058,1.3511984359599951,0.9617595273639358
4,time_to_solve_sec,0.0006302888856494671,0.0013968293958718215,0.4512282512898267,0.655714910282419,30,0.07948445851439878,-0.06779802812329727,False,0.6413227062200613,0.537076979094058,1.3511984359599951,0.9510643711199244
4,error_count,-0.04005569422167107,0.03668314405287816,-1.0919373258718346,0.2852723755821995,30,0.07948445851439878,-0.06779802812329727,False,0.6413227062200613,0.537076979094058,1.3511984359599951,0.9418685682930683
4,hint_count,-0.005204357978773333,0.05716748391751107,-0.0910370305309025,0.9281886825943633,30,0.07948445851439878,-0.06779802812329727,False,0.6413227062200613,0.537076979094058,1.3511984359599951,0.9617595273639358
5,pause_count,0.004443065902386394,0.017024784766098183,0.26097633323588126,0.7957830256037783,37,0.11463647766540197,0.003966037373577258,False,0.3806001032966357,0.37555495780233433,0.15857297480439558,0.954939630724534
5,time_to_solve_sec,-0.0006706456569951778,0.0010099273247309683,-0.6640533834192763,0.5114128445203234,37,0.11463647766540197,0.003966037373577258,False,0.3806001032966357,0.37555495780233433,0.15857297480439558,0.9510643711199244
5,error_count,0.041027642964337245,0.028626767439508975,1.433191611698124,0.1615017094909069,37,0.11463647766540197,0.003966037373577258,False,0.3806001032966357,0.37555495780233433,0.15857297480439558,0.9418685682930683
5,hint_count,0.010377586703203767,0.05058344002671216,0.2051577887491155,0.8387483214849977,37,0.11463647766540197,0.003966037373577258,False,0.3806001032966357,0.37555495780233433,0.15857297480439558,0.9585695102685688
