participant_id,puzzle_id,order,pause_count,time_to_solve_sec,total_time_spent_sec,check_count,error_count,percent_error,percent_incomplete,hint_count,initial_difficulty,final_difficulty,solved_flag,skill_nonogram,skill_puzzles,played_before_ord,puzzle_played_frequency_ord,n_nonogram_sizes,n_logic_puzzles,expertise_composite
Michael-p11,4,3,27,180.190007,180.190007,0,11,0.44,0.7,1,5,5.0,False,2,3,0,1,1,1,-1.3080708545064683
Michael-p12,1,1,26,371.83501,371.83501,1,5,0.0,0.0,0,3,2.0,True,5,5,1,1,2,1,-0.31859878489830673
Michael-p12,5,2,122,1658.065015,1658.065015,2,23,0.0,0.0,1,3,3.0,True,5,5,1,1,2,1,-0.31859878489830673
Michael-p12,4,3,149,2105.268846,2105.270612,2,34,0.0,0.0,6,4,4.0,True,5,5,1,1,2,1,-0.31859878489830673
Michael-p13,2,1,73,920.718574,920.718574,1,13,0.0,0.0,1,3,3.0,True,3,5,1,1,1,3,-0.23337425532841286
Michael-p13,5,2,60,766.997806,766.997806,1,6,0.0,0.0,0,4,4.0,True,3,5,1,1,1,3,-0.23337425532841286
Michael-p13,3,3,76,1106.995911,1106.99693,1,17,0.0,0.0,8,5,5.0,True,3,5,1,1,1,3,-0.23337425532841286
Michael-p14,3,1,60,1089.726491,1089.726491,1,15,0.0,0.0,0,4,5.0,True,4,6,0,1,1,1,-0.7981613213820117
Michael-p14,1,2,44,561.328202,561.328202,1,10,0.0,0.0,0,4,4.0,True,4,6,0,1,1,1,-0.7981613213820117
Michael-p14,5,3,64,648.107338,648.108225,1,23,0.0,0.0,6,5,5.0,True,4,6,0,1,1,1,-0.7981613213820117
Michael-p15,5,1,47,684.838666,684.838666,1,21,0.0,0.0,8,4,4.0,True,5,6,0,1,1,2,-0.45282110446136564
Michael-p15,2,2,40,449.44426,449.44426,1,12,0.0,0.0,3,3,3.0,True,5,6,0,1,1,2,-0.45282110446136564
Michael-p15,3,3,44,530.670797,530.671863,1,6,0.0,0.0,5,4,4.0,True,5,6,0,1,1,2,-0.45282110446136564
Michael-p16,1,1,45,536.408165,536.408165,2,8,0.0,0.0,3,4,4.0,True,4,4,1,1,1,1,-0.7807400755132269
Michael-p16,4,2,48,540.094328,540.094328,3,11,0.0,0.0,5,5,5.0,True,4,4,1,1,1,1,-0.7807400755132269
