predictor,coef,se,t,p_value,n,r_squared,adj_r_squared
const,14.218275522270776,5.944596846298946,2.391798113462135,0.017736397281729373,197,0.04647925030506672,0.021517974135042306
pause_count,0.11915528280148766,0.17185780038511722,0.6933364824550986,0.4889406748193719,197,0.04647925030506672,0.021517974135042306
pause_freq_per_min,0.34811943711133375,1.1763724417111656,0.2959262090541283,0.7676079242667295,197,0.04647925030506672,0.021517974135042306
time_to_solve_sec,-0.000711430012039877,0.011465866014398857,-0.062047647438620145,0.9505897689571311,197,0.04647925030506672,0.021517974135042306
error_count,-0.32149823955730844,0.11425844632263733,-2.813780949282976,0.005408703819951611,197,0.04647925030506672,0.021517974135042306
hint_count,-0.1502494243986461,0.3085597456439077,-0.48693786704128583,0.6268606933497887,197,0.04647925030506672,0.021517974135042306
(model),,,,,197,0.04647925030506672,0.021517974135042306
