term,coef,se,p_value
Intercept,3.3931767041717467,0.1196599670476873,6.094933572244029e-67
C(order)[T.2],0.07728445997077397,0.17197925011292967,0.6537182584627753
C(order)[T.3],0.05018488936789098,0.17790155421115708,0.7782089253379398
expertise_composite,-0.06476414249635536,0.07199452348668865,0.3695993428246037
