sat_metric,raw_spearman_rho,raw_spearman_p,adjusted_spearman_rho,adjusted_spearman_p,n_puzzles
decisions,-0.4928053803045812,0.32063258286582746,-0.3714285714285715,0.4684781341107872,6
propagations,-0.4928053803045812,0.32063258286582746,-0.3714285714285715,0.4684781341107872,6
conflicts,-0.3638034375544995,0.47837007115347485,-0.23904572186687875,0.6482612949673071,6
