predictor,coef_metric,se_metric,p_metric,ci_lower_metric,ci_upper_metric,coef_expertise,se_expertise,p_expertise,ci_lower_expertise,ci_upper_expertise,interaction,se_interaction,p_interaction,ci_lower_interaction,ci_upper_interaction,var_participant,var_puzzle,var_residual,n,n_participants,n_puzzles,slope_low,se_slope_low,p_slope_low,ci_lower_slope_low,ci_upper_slope_low,slope_mean,se_slope_mean,p_slope_mean,ci_lower_slope_mean,ci_upper_slope_mean,slope_high,se_slope_high,p_slope_high,ci_lower_slope_high,ci_upper_slope_high
decisions,-0.0007189692752640436,0.015393737470273927,0.9627480984750046,-0.03089014030446566,0.029452201753937573,0.08747350053065554,0.10282130081213953,0.3949175424006772,-0.11405254590469695,0.28899954696600805,-0.009583957172389189,0.003840908441360728,0.0125874844989018,-0.01711199938537209,-0.0020559149594062878,0.194248729350482,0.26870796293337784,0.5344544259396672,180,67,6,0.008864987897125145,0.0159696788497143,0.5788168761982515,-0.022435582648314883,0.04016555844256517,-0.0007189692752640436,0.015393737470273927,0.9627480984750048,-0.03089069471700094,0.029452756166472853,-0.010302926447653233,0.01576099043062494,0.5133064523386905,-0.041194467691678116,0.020588614796371654
propagations,0.00011012423588933766,0.0006322727372456957,0.8617302542754066,-0.0011291075575187827,0.001349356029297458,0.2053393661776754,0.12931132660884104,0.11229861631646823,-0.04810617676874901,0.4587849091240998,-0.00044313127588797537,0.00016025506407536038,0.005689446488566303,-0.0007572254298158403,-0.0001290371219601104,0.19171821523414828,0.26864358351958245,0.5308093938070765,180,67,6,0.000553255511777313,0.0006568971412370405,0.3996617526161874,-0.0007342628850472865,0.0018407739086019124,0.00011012423588933766,0.0006322727372456957,0.8617302542754066,-0.0011291303291122259,0.0013493788008909012,-0.0003330070399986377,0.0006476010697076777,0.6071007576613985,-0.001602305136625686,0.0009362910566284105
conflicts,0.006733947458239838,0.03453838709160132,0.8454164758868461,-0.06096004732540185,0.07442794224188153,0.08913599623301233,0.09823435918648582,0.36420532560453656,-0.10339980981687127,0.2816718022828959,-0.02467248070101161,0.00877760418754578,0.0049411655760458325,-0.0418762687791493,-0.007468692622873918,0.19533133085111348,0.26823035504886955,0.5277841305916218,180,67,6,0.031406428159251445,0.035899444463462486,0.3816585718418337,-0.038956482989135024,0.10176933930763792,0.006733947458239838,0.03453838709160132,0.8454164758868461,-0.060961291241298746,0.07442918615777842,-0.01793853324277177,0.03537121603139763,0.6120491573901086,-0.08726611666431112,0.05138905017876759
