outcome,column,spearman_rho,spearman_p,n,spearman_p_fdr
Mean time to solve (s),time_to_solve_sec,-0.5408776175557085,2.2980423106783915e-06,67,5.745105776695979e-06
Mean pause count,pause_count,-0.5067856161121255,1.2084060224884885e-05,67,2.014010037480814e-05
Mean error count,error_count,-0.407016686576522,0.000630470367810872,67,0.00078808795976359
Mean hints used,hint_count,-0.5830213259839516,2.2560119029154e-07,67,1.1280059514577e-06
Mean final difficulty,final_difficulty,-0.09357688092333814,0.45132964050434876,67,0.4513296405043487
