outcome,predictor,coef_metric,se_metric,p_metric,ci_lower_metric,ci_upper_metric,coef_expertise,se_expertise,p_expertise,ci_lower_expertise,ci_upper_expertise,interaction,se_interaction,p_interaction,ci_lower_interaction,ci_upper_interaction,var_participant,var_puzzle,var_residual,n,n_participants,n_puzzles,slope_low,se_slope_low,p_slope_low,ci_lower_slope_low,ci_upper_slope_low,slope_mean,se_slope_mean,p_slope_mean,ci_lower_slope_mean,ci_upper_slope_mean,slope_high,se_slope_high,p_slope_high,ci_lower_slope_high,ci_upper_slope_high
final_difficulty,decisions,-0.0007189692752640436,0.015393737470273927,0.9627480984750046,-0.03089014030446566,0.029452201753937573,0.08747350053065554,0.10282130081213953,0.3949175424006772,-0.11405254590469695,0.28899954696600805,-0.009583957172389189,0.003840908441360728,0.0125874844989018,-0.01711199938537209,-0.0020559149594062878,0.194248729350482,0.26870796293337784,0.5344544259396672,180,67,6,0.008864987897125145,0.0159696788497143,0.5788168761982515,-0.022435582648314883,0.04016555844256517,-0.0007189692752640436,0.015393737470273927,0.9627480984750048,-0.03089069471700094,0.029452756166472853,-0.010302926447653233,0.01576099043062494,0.5133064523386905,-0.041194467691678116,0.020588614796371654
final_difficulty,propagations,0.00011012423588933766,0.0006322727372456957,0.8617302542754066,-0.0011291075575187827,0.001349356029297458,0.2053393661776754,0.12931132660884104,0.11229861631646823,-0.04810617676874901,0.4587849091240998,-0.00044313127588797537,0.00016025506407536038,0.005689446488566303,-0.0007572254298158403,-0.0001290371219601104,0.19171821523414828,0.26864358351958245,0.5308093938070765,180,67,6,0.000553255511777313,0.0006568971412370405,0.3996617526161874,-0.0007342628850472865,0.0018407739086019124,0.00011012423588933766,0.0006322727372456957,0.8617302542754066,-0.0011291303291122259,0.0013493788008909012,-0.0003330070399986377,0.0006476010697076777,0.6071007576613985,-0.001602305136625686,0.0009362910566284105
final_difficulty,conflicts,0.006733947458239838,0.03453838709160132,0.8454164758868461,-0.06096004732540185,0.07442794224188153,0.08913599623301233,0.09823435918648582,0.36420532560453656,-0.10339980981687127,0.2816718022828959,-0.02467248070101161,0.00877760418754578,0.0049411655760458325,-0.0418762687791493,-0.007468692622873918,0.19533133085111348,0.26823035504886955,0.5277841305916218,180,67,6,0.031406428159251445,0.035899444463462486,0.3816585718418337,-0.038956482989135024,0.10176933930763792,0.006733947458239838,0.03453838709160132,0.8454164758868461,-0.060961291241298746,0.07442918615777842,-0.01793853324277177,0.03537121603139763,0.6120491573901086,-0.08726611666431112,0.05138905017876759
pause_count,decisions,-0.02604489806941668,0.37923841495899013,0.9452468492134694,-0.7693385329430934,0.71724873680426,-6.318296693626984,2.5607911984709073,0.013612784850775524,-11.337355214557125,-1.2992381726968443,-0.1006552861588981,0.10874100832376021,0.3546318593793276,-0.3137837461160383,0.11247317379824215,6.677070888910722e-06,159.5699356243162,539.7560556677599,201,67,6,0.07461038808948142,0.3950692736635675,0.8502072960376761,-0.6997253882911109,0.8489461644700736,-0.02604489806941668,0.37923841495899013,0.9452468492134694,-0.7693521913890373,0.717262395250204,-0.12670018422831478,0.3939708536817055,0.7477573637508157,-0.8988830574444575,0.645482688987828
pause_count,propagations,0.0007346850572946037,0.015602805907121764,0.9624441061736442,-0.02984625257843286,0.03131562269302207,-5.017611188792446,3.4102085893174925,0.1411964259878245,-11.701497203623877,1.6662748260389835,-0.004740858112208752,0.0045393937857258196,0.29630899872321115,-0.013637906443876292,0.004156190219458786,1.5310994618431325e-05,159.92877789249593,539.0857670557358,201,67,6,0.005475543169503356,0.01628358864263849,0.7366737155619572,-0.02644029057006808,0.03739137690907479,0.0007346850572946037,0.015602805907121764,0.9624441061736442,-0.029846814520664053,0.031316184635253264,-0.004006173054914149,0.01621579591483979,0.8048666329745879,-0.03578913304800014,0.02777678693817184
pause_count,conflicts,0.16262411591642228,0.8501371264976941,0.8482971189797578,-1.5036140339394302,1.8288622657722748,-5.934120247560848,2.407362912925057,0.013701791086875116,-10.652464854611395,-1.2157756405103024,-0.3123705583685693,0.24927753972030967,0.2101680411884328,-0.800945558375129,0.17620444163799043,6.031319372708198e-06,158.64611732118524,537.7417347405507,201,67,6,0.4749946742849916,0.8881508742022483,0.5927791409671475,-1.265781039151415,2.215770387721398,0.16262411591642228,0.8501371264976941,0.8482971189797579,-1.503644652019058,1.8288928838519027,-0.14974644245214702,0.8837040658338718,0.8654402159580314,-1.8818064114865358,1.5823135265822417
time_to_solve_sec,decisions,0.1438021992697985,4.846077059405787,0.9763270957371172,-9.354334303471317,9.641938702010913,-64.34656157137323,33.5586002849503,0.05518221157202263,-130.12020950145143,1.4270863587049547,-3.0478565334512724,1.3520616565263741,0.024181768196917995,-5.6978486851205306,-0.3978643817820142,10287.341522835079,26159.13259370674,77196.97821842125,197,67,6,3.191658732721071,5.053286062827175,0.5276478655066223,-6.712781950420193,13.096099415862334,0.1438021992697985,4.846077059405787,0.9763270957371173,-9.354508837165545,9.642113235705141,-2.904054334181474,5.008928742229459,0.562065998800787,-12.721554668951214,6.913446000588266
time_to_solve_sec,propagations,0.030864348250415334,0.19896935212278907,0.8767258343320179,-0.3591084159375194,0.4208371124383501,-30.368486363449858,43.52435192904796,0.4853426097008744,-115.67464859483029,54.937675867930565,-0.13516999757906287,0.05631180812130562,0.016377853474367744,-0.24553911340115203,-0.024800881756973717,10036.703009383502,26098.871186086726,77090.92403657014,197,67,6,0.1660343458294782,0.20780784000005212,0.42430190346527996,-0.2412690205706239,0.5733377122295803,0.030864348250415334,0.19896935212278907,0.8767258343320179,-0.3591155819102512,0.4208442784110819,-0.10430564932864753,0.20575603823610883,0.6121979984107226,-0.5075874842714209,0.29897618561412576
time_to_solve_sec,conflicts,2.987473509698236,10.807657526091223,0.7822240179559354,-18.19514599868382,24.170093018080294,-64.81355358300851,31.709526396370958,0.040955785261616015,-126.96308328671776,-2.664023879299272,-7.7121002403429735,3.0797155600377506,0.012274254445707082,-13.748231820644566,-1.67596866004138,10082.541430145498,25729.585312198888,76836.79336281991,197,67,6,10.69957375004121,11.29608685864119,0.34354047098918894,-11.440756492895524,32.839903992977945,2.987473509698236,10.807657526091223,0.7822240179559354,-18.19553524144056,24.170482260837034,-4.724626730644737,11.179384596034952,0.6725728446502326,-26.636220538873243,17.18696707758377
error_count,decisions,-0.11414742304490902,0.12183197633395804,0.3487971442698914,-0.352933708824803,0.12463886273498495,-2.8457898752073185,1.3867314216991726,0.04015445726489089,-5.563733517967723,-0.12784623244691407,-0.015715683919162227,0.04922573413875103,0.7495312715327331,-0.11219634994365807,0.08076498210533362,41.63505190916726,14.86872668998839,102.47191651701256,201,67,6,-0.09843173912574679,0.13205306952841708,0.4560327763319758,-0.3572557554014443,0.16039227714995066,-0.11414742304490902,0.12183197633395804,0.3487971442698914,-0.35293809665946674,0.12464325056964873,-0.12986310696407125,0.13074552973619122,0.3205877291126551,-0.386124345247006,0.12639813131886354
