predictor,coef,se,t,p_value,n,r_squared,adj_r_squared
const,4.5503785866929976,2.5854969888471637,1.7599628258402833,0.08001489012786064,197,0.04668516815491497,0.02172928250452011
pause_count,0.043405787753836925,0.07474650289905838,0.5807066025878748,0.5621227499517373,197,0.04668516815491497,0.02172928250452011
pause_freq_per_min,0.22127855376070393,0.5116423341139811,0.43248679596440237,0.6658755533888315,197,0.04668516815491497,0.02172928250452011
time_to_solve_sec,0.00097195803627508,0.004986875110498026,0.19490322391049678,0.8456758745975395,197,0.04668516815491497,0.02172928250452011
error_count,-0.14145824823151912,0.049694685199965546,-2.8465468221059824,0.004902681180638752,197,0.04668516815491497,0.02172928250452011
hint_count,-0.021787691251774915,0.13420258999371187,-0.1623492605678906,0.8712024499257065,197,0.04668516815491497,0.02172928250452011
(model),,,,,197,0.04668516815491497,0.02172928250452011
