predictor,coef,se,t,p_value,n,r_squared,adj_r_squared
const,4.329795932335488,0.7152719971064238,6.053355856025868,8.729026869768043e-09,177,0.08328283159745276,0.056478236030126916
pause_count,0.025503105742880953,0.01474405729507754,1.7297210145402402,0.08548454859659226,177,0.08328283159745276,0.056478236030126916
pause_freq_per_min,-0.2588991286340593,0.13452203244925837,-1.9245853182579284,0.05594136489897874,177,0.08328283159745276,0.056478236030126916
time_to_solve_sec,-0.0013085967072946657,0.0010669580510251958,-1.2264743736056816,0.22170635248864937,177,0.08328283159745276,0.056478236030126916
error_count,0.000884163049930841,0.007907773634111206,0.11180935252330557,0.9111057073399608,177,0.08328283159745276,0.056478236030126916
hint_count,-0.013112926316959313,0.021989100690452554,-0.596337544747922,0.551738357467114,177,0.08328283159745276,0.056478236030126916
(model),,,,,177,0.08328283159745276,0.056478236030126916
