puzzle_id,bt_score,bt_rank,theta_ci_lower,theta_ci_upper,decisions,propagations,conflicts
0,1.020394110102481,3,0.3719933233659219,2.6773381829681675,4,313,0
1,1.2284798512661725,4,0.5676055103382986,2.784478333567612,2,307,0
2,0.20085177133962828,1,0.04426839829729699,0.4725389567295092,13,453,4
3,2.437375787855686,6,1.3001191228634932,5.7498418348673095,8,417,4
4,1.7627933497117987,5,0.7949429419000019,4.406981075626789,31,1063,15
5,0.9244096207695587,2,0.4797424911374236,1.8247451617105654,40,1133,15
