term,coef,se,p_value
Intercept,3.390625,0.1195607442887498,3.8222025645527815e-67
C(order)[T.2],0.07604166666666624,0.17187939935145896,0.6587398721686287
C(order)[T.3],0.043337264150943314,0.17764116227165727,0.8075495327045085
