,skill_nonogram,skill_puzzles,played_before_ord,puzzle_played_frequency_ord,n_nonogram_sizes,n_logic_puzzles
skill_nonogram,1.0,0.7149415269845011,0.7020424349427482,0.509161264938559,0.5503183959004299,0.37138132445122407
skill_puzzles,0.7149415269845011,1.0,0.430661998979824,0.6459998958633992,0.20942787874364047,0.43093903541427064
played_before_ord,0.7020424349427482,0.430661998979824,1.0,0.3958715054376101,0.7275916429680256,0.2543660657057701
puzzle_played_frequency_ord,0.509161264938559,0.6459998958633992,0.3958715054376101,1.0,0.2859811375647006,0.3895932276935453
n_nonogram_sizes,0.5503183959004299,0.20942787874364047,0.7275916429680256,0.2859811375647006,1.0,0.2652662087088609
n_logic_puzzles,0.37138132445122407,0.43093903541427064,0.2543660657057701,0.3895932276935453,0.2652662087088609,1.0
