sample,metric_a,metric_b,pearson_r,pearson_p,spearman_rho,spearman_p,r_squared_vs_conflicts
pool,decisions,propagations,0.90201938325606,0.0,0.9163392094531659,0.0,
pool,decisions,conflicts,0.9169266790129601,0.0,0.9262850502832769,0.0,0.8407545346857359
pool,propagations,conflicts,0.9249819122477672,0.0,0.9233412031087513,0.0,0.855591537985536
selected_six,decisions,propagations,0.9861842825932614,0.00028499254024427594,1.0,0.0,
selected_six,decisions,conflicts,0.976358455324037,0.0008317770547794068,0.956182887467515,0.0028378459267344386,0.9532758332827395
selected_six,propagations,conflicts,0.9915501032920528,0.00010679946706279528,0.956182887467515,0.0028378459267344386,0.9831716073384806
