response_kind,total,codeable,coded,pct_codeable,pct_coded_of_codeable
rating_reason,204,177,167,86.76470588235294,94.35028248587571
comments,68,56,54,82.3529411764706,96.42857142857143
strategy,68,67,65,98.52941176470588,97.01492537313433
size_experience_other,68,1,0,1.4705882352941178,0.0
