human_variable,sat_variable,method,correlation,p_value,n_puzzles,note
mean_human_time_to_solve,log_propagations,spearman,0.42857142857142855,0.41944444444444445,6,Mean solve time among completed attempts
mean_human_time_to_solve,log_propagations,kendall,0.3333333333333333,0.46944444444444444,6,Mean solve time among completed attempts
mean_human_time_to_solve,log_sat_time,spearman,0.37142857142857144,0.49722222222222223,6,Mean solve time among completed attempts
mean_human_time_to_solve,log_sat_time,kendall,0.06666666666666667,1.0,6,Mean solve time among completed attempts
mean_final_rating_max_incomplete,conflicts,spearman,-0.11952286093343936,0.8444444444444444,6,Incomplete attempts treated as maximum difficulty
mean_final_rating_max_incomplete,conflicts,kendall,-0.14907119849998599,0.8444444444444444,6,Incomplete attempts treated as maximum difficulty
mean_final_rating_max_incomplete,decisions,spearman,-0.2,0.7138888888888889,6,Incomplete attempts treated as maximum difficulty
mean_final_rating_max_incomplete,decisions,kendall,-0.2,0.7194444444444444,6,Incomplete attempts treated as maximum difficulty
mean_final_rating_max_incomplete,propagations,spearman,-0.2,0.7138888888888889,6,Incomplete attempts treated as maximum difficulty
mean_final_rating_max_incomplete,propagations,kendall,-0.2,0.7194444444444444,6,Incomplete attempts treated as maximum difficulty
mean_final_rating_max_incomplete,sat_time_to_solve,spearman,-0.2571428571428571,0.6583333333333333,6,Incomplete attempts treated as maximum difficulty
mean_final_rating_max_incomplete,sat_time_to_solve,kendall,-0.2,0.7194444444444444,6,Incomplete attempts treated as maximum difficulty
mean_final_rating_max_incomplete,log_conflicts,spearman,-0.11952286093343936,0.8444444444444444,6,Incomplete attempts treated as maximum difficulty
mean_final_rating_max_incomplete,log_conflicts,kendall,-0.14907119849998599,0.8444444444444444,6,Incomplete attempts treated as maximum difficulty
mean_final_rating_max_incomplete,log_decisions,spearman,-0.2,0.7138888888888889,6,Incomplete attempts treated as maximum difficulty
mean_final_rating_max_incomplete,log_decisions,kendall,-0.2,0.7194444444444444,6,Incomplete attempts treated as maximum difficulty
mean_final_rating_max_incomplete,log_propagations,spearman,-0.2,0.7138888888888889,6,Incomplete attempts treated as maximum difficulty
mean_final_rating_max_incomplete,log_propagations,kendall,-0.2,0.7194444444444444,6,Incomplete attempts treated as maximum difficulty
mean_final_rating_max_incomplete,log_sat_time,spearman,-0.2571428571428571,0.6583333333333333,6,Incomplete attempts treated as maximum difficulty
mean_final_rating_max_incomplete,log_sat_time,kendall,-0.2,0.7194444444444444,6,Incomplete attempts treated as maximum difficulty
