model_name,sat_variable,expertise_variable_used,term,estimate,standard_error,test_statistic,p_value,n_rows,n_participants,n_puzzles,model_type,notes
final_rating ~ z_conflicts * expertise_composite + C(order),conflicts,expertise_composite,intercept,3.4085611808016036,0.12485854332487513,27.299382885900833,4.313758117888263e-164,177,66,6,OLS_clustered_by_participant,Mixed-effects dependency unavailable; fallback clustered OLS. SAT variation remains puzzle-level with 6 puzzles; no puzzle fixed effects included. Status=ok.
final_rating ~ z_conflicts * expertise_composite + C(order),conflicts,expertise_composite,z_conflicts,0.018229270414883644,0.06079593968387848,0.299843550567203,0.7642964942369638,177,66,6,OLS_clustered_by_participant,Mixed-effects dependency unavailable; fallback clustered OLS. SAT variation remains puzzle-level with 6 puzzles; no puzzle fixed effects included. Status=ok.
final_rating ~ z_conflicts * expertise_composite + C(order),conflicts,expertise_composite,expertise_composite,-0.0639061981957031,0.0783592029351972,-0.8155544696971117,0.414754999098959,177,66,6,OLS_clustered_by_participant,Mixed-effects dependency unavailable; fallback clustered OLS. SAT variation remains puzzle-level with 6 puzzles; no puzzle fixed effects included. Status=ok.
final_rating ~ z_conflicts * expertise_composite + C(order),conflicts,expertise_composite,sat_x_expertise,-0.16502864754409324,0.061094429759086695,-2.7012061196879933,0.0069088507093691244,177,66,6,OLS_clustered_by_participant,Mixed-effects dependency unavailable; fallback clustered OLS. SAT variation remains puzzle-level with 6 puzzles; no puzzle fixed effects included. Status=ok.
final_rating ~ z_conflicts * expertise_composite + C(order),conflicts,expertise_composite,order_2,0.06906277327485784,0.1576896889326294,0.4379663232411086,0.661410696091941,177,66,6,OLS_clustered_by_participant,Mixed-effects dependency unavailable; fallback clustered OLS. SAT variation remains puzzle-level with 6 puzzles; no puzzle fixed effects included. Status=ok.
final_rating ~ z_conflicts * expertise_composite + C(order),conflicts,expertise_composite,order_3,0.0499752396929584,0.18350830049102881,0.2723323117223329,0.7853665136022119,177,66,6,OLS_clustered_by_participant,Mixed-effects dependency unavailable; fallback clustered OLS. SAT variation remains puzzle-level with 6 puzzles; no puzzle fixed effects included. Status=ok.
final_rating ~ z_decisions * expertise_composite + C(order),decisions,expertise_composite,intercept,3.402714966439334,0.12360702268623837,27.52849225303904,8.007987741246388e-167,177,66,6,OLS_clustered_by_participant,Mixed-effects dependency unavailable; fallback clustered OLS. SAT variation remains puzzle-level with 6 puzzles; no puzzle fixed effects included. Status=ok.
final_rating ~ z_decisions * expertise_composite + C(order),decisions,expertise_composite,z_decisions,-0.026411724597432348,0.0564872356772046,-0.4675697842316399,0.6400922770532618,177,66,6,OLS_clustered_by_participant,Mixed-effects dependency unavailable; fallback clustered OLS. SAT variation remains puzzle-level with 6 puzzles; no puzzle fixed effects included. Status=ok.
final_rating ~ z_decisions * expertise_composite + C(order),decisions,expertise_composite,expertise_composite,-0.06221093872242768,0.07876911528385519,-0.7897884659265516,0.42965131614711427,177,66,6,OLS_clustered_by_participant,Mixed-effects dependency unavailable; fallback clustered OLS. SAT variation remains puzzle-level with 6 puzzles; no puzzle fixed effects included. Status=ok.
final_rating ~ z_decisions * expertise_composite + C(order),decisions,expertise_composite,sat_x_expertise,-0.1469011153957049,0.0616429409531521,-2.383097125546752,0.017167664190577085,177,66,6,OLS_clustered_by_participant,Mixed-effects dependency unavailable; fallback clustered OLS. SAT variation remains puzzle-level with 6 puzzles; no puzzle fixed effects included. Status=ok.
final_rating ~ z_decisions * expertise_composite + C(order),decisions,expertise_composite,order_2,0.07168037198265292,0.15743793568230283,0.4552928852376354,0.6488985440962731,177,66,6,OLS_clustered_by_participant,Mixed-effects dependency unavailable; fallback clustered OLS. SAT variation remains puzzle-level with 6 puzzles; no puzzle fixed effects included. Status=ok.
final_rating ~ z_decisions * expertise_composite + C(order),decisions,expertise_composite,order_3,0.057363588383711236,0.18500243659362722,0.3100693668684753,0.7565082067000812,177,66,6,OLS_clustered_by_participant,Mixed-effects dependency unavailable; fallback clustered OLS. SAT variation remains puzzle-level with 6 puzzles; no puzzle fixed effects included. Status=ok.
