model_name,sat_variable,expertise_variable_used,term,estimate,standard_error,test_statistic,p_value,n_rows,n_participants,n_puzzles,model_type,notes
final_rating ~ z_propagations * expertise_composite + C(order),propagations,expertise_composite,intercept,3.4121749551522584,0.12513586470941043,27.267761828920793,1.0233849027901124e-163,177,66,6,OLS_clustered_by_participant,Mixed-effects dependency unavailable; fallback clustered OLS. SAT variation remains puzzle-level with 6 puzzles; no puzzle fixed effects included. Status=ok.
final_rating ~ z_propagations * expertise_composite + C(order),propagations,expertise_composite,z_propagations,0.012410052486198274,0.06020110032545418,0.20614328341356022,0.8366789894991145,177,66,6,OLS_clustered_by_participant,Mixed-effects dependency unavailable; fallback clustered OLS. SAT variation remains puzzle-level with 6 puzzles; no puzzle fixed effects included. Status=ok.
final_rating ~ z_propagations * expertise_composite + C(order),propagations,expertise_composite,expertise_composite,-0.06387239818381145,0.07773505245432351,-0.8216679112854829,0.41126592681703367,177,66,6,OLS_clustered_by_participant,Mixed-effects dependency unavailable; fallback clustered OLS. SAT variation remains puzzle-level with 6 puzzles; no puzzle fixed effects included. Status=ok.
final_rating ~ z_propagations * expertise_composite + C(order),propagations,expertise_composite,sat_x_expertise,-0.1658298553989229,0.062429458659399084,-2.656275722390175,0.007900898597446472,177,66,6,OLS_clustered_by_participant,Mixed-effects dependency unavailable; fallback clustered OLS. SAT variation remains puzzle-level with 6 puzzles; no puzzle fixed effects included. Status=ok.
final_rating ~ z_propagations * expertise_composite + C(order),propagations,expertise_composite,order_2,0.06403346399308094,0.15876542112503703,0.4033212241011275,0.6867119301071929,177,66,6,OLS_clustered_by_participant,Mixed-effects dependency unavailable; fallback clustered OLS. SAT variation remains puzzle-level with 6 puzzles; no puzzle fixed effects included. Status=ok.
final_rating ~ z_propagations * expertise_composite + C(order),propagations,expertise_composite,order_3,0.04538117410992193,0.18491910074998388,0.24541096039223456,0.8061382432906955,177,66,6,OLS_clustered_by_participant,Mixed-effects dependency unavailable; fallback clustered OLS. SAT variation remains puzzle-level with 6 puzzles; no puzzle fixed effects included. Status=ok.
final_rating ~ z_sat_time_to_solve * expertise_composite + C(order),sat_time_to_solve,expertise_composite,intercept,3.3344034551415374,0.11786161754374329,28.290833985067305,4.480603839320624e-176,177,66,6,OLS_clustered_by_participant,Mixed-effects dependency unavailable; fallback clustered OLS. SAT variation remains puzzle-level with 6 puzzles; no puzzle fixed effects included. Status=ok.
final_rating ~ z_sat_time_to_solve * expertise_composite + C(order),sat_time_to_solve,expertise_composite,z_sat_time_to_solve,0.27097661158032754,0.064666096197203,4.190396939285908,2.784668762549926e-05,177,66,6,OLS_clustered_by_participant,Mixed-effects dependency unavailable; fallback clustered OLS. SAT variation remains puzzle-level with 6 puzzles; no puzzle fixed effects included. Status=ok.
final_rating ~ z_sat_time_to_solve * expertise_composite + C(order),sat_time_to_solve,expertise_composite,expertise_composite,-0.04206275668823252,0.08104385213535736,-0.5190123072874224,0.6037521588257083,177,66,6,OLS_clustered_by_participant,Mixed-effects dependency unavailable; fallback clustered OLS. SAT variation remains puzzle-level with 6 puzzles; no puzzle fixed effects included. Status=ok.
final_rating ~ z_sat_time_to_solve * expertise_composite + C(order),sat_time_to_solve,expertise_composite,sat_x_expertise,0.0361668036057589,0.06649645418043483,0.5438907089334729,0.5865166829101583,177,66,6,OLS_clustered_by_participant,Mixed-effects dependency unavailable; fallback clustered OLS. SAT variation remains puzzle-level with 6 puzzles; no puzzle fixed effects included. Status=ok.
final_rating ~ z_sat_time_to_solve * expertise_composite + C(order),sat_time_to_solve,expertise_composite,order_2,0.16784875724884285,0.14918927260121734,1.1250725626734723,0.2605582868569361,177,66,6,OLS_clustered_by_participant,Mixed-effects dependency unavailable; fallback clustered OLS. SAT variation remains puzzle-level with 6 puzzles; no puzzle fixed effects included. Status=ok.
final_rating ~ z_sat_time_to_solve * expertise_composite + C(order),sat_time_to_solve,expertise_composite,order_3,0.11080473484099629,0.1732745757733705,0.6394748585962211,0.5225140640556848,177,66,6,OLS_clustered_by_participant,Mixed-effects dependency unavailable; fallback clustered OLS. SAT variation remains puzzle-level with 6 puzzles; no puzzle fixed effects included. Status=ok.
final_rating ~ z_log_conflicts * expertise_composite + C(order),log_conflicts,expertise_composite,intercept,3.3936857359556702,0.12324329283803126,27.536474057178253,6.426252015908692e-167,177,66,6,OLS_clustered_by_participant,Mixed-effects dependency unavailable; fallback clustered OLS. SAT variation remains puzzle-level with 6 puzzles; no puzzle fixed effects included. Status=ok.
final_rating ~ z_log_conflicts * expertise_composite + C(order),log_conflicts,expertise_composite,z_log_conflicts,-0.012436811670194123,0.06121905637344055,-0.20315261957532793,0.8390157446526424,177,66,6,OLS_clustered_by_participant,Mixed-effects dependency unavailable; fallback clustered OLS. SAT variation remains puzzle-level with 6 puzzles; no puzzle fixed effects included. Status=ok.
final_rating ~ z_log_conflicts * expertise_composite + C(order),log_conflicts,expertise_composite,expertise_composite,-0.06252011830837853,0.08098809167083602,-0.7719668042368771,0.4401340887880998,177,66,6,OLS_clustered_by_participant,Mixed-effects dependency unavailable; fallback clustered OLS. SAT variation remains puzzle-level with 6 puzzles; no puzzle fixed effects included. Status=ok.
final_rating ~ z_log_conflicts * expertise_composite + C(order),log_conflicts,expertise_composite,sat_x_expertise,-0.13389994848430906,0.060784599171296014,-2.2028597754995136,0.027604633492186743,177,66,6,OLS_clustered_by_participant,Mixed-effects dependency unavailable; fallback clustered OLS. SAT variation remains puzzle-level with 6 puzzles; no puzzle fixed effects included. Status=ok.
final_rating ~ z_log_conflicts * expertise_composite + C(order),log_conflicts,expertise_composite,order_2,0.08217853382054148,0.15614508813774491,0.526295990483203,0.5986825684085395,177,66,6,OLS_clustered_by_participant,Mixed-effects dependency unavailable; fallback clustered OLS. SAT variation remains puzzle-level with 6 puzzles; no puzzle fixed effects included. Status=ok.
final_rating ~ z_log_conflicts * expertise_composite + C(order),log_conflicts,expertise_composite,order_3,0.06784964066331123,0.18155481959805903,0.37371434596736314,0.7086168509206872,177,66,6,OLS_clustered_by_participant,Mixed-effects dependency unavailable; fallback clustered OLS. SAT variation remains puzzle-level with 6 puzzles; no puzzle fixed effects included. Status=ok.
final_rating ~ z_log_decisions * expertise_composite + C(order),log_decisions,expertise_composite,intercept,3.391791517543198,0.12171170137411842,27.8674234214957,6.625153420503751e-171,177,66,6,OLS_clustered_by_participant,Mixed-effects dependency unavailable; fallback clustered OLS. SAT variation remains puzzle-level with 6 puzzles; no puzzle fixed effects included. Status=ok.
final_rating ~ z_log_decisions * expertise_composite + C(order),log_decisions,expertise_composite,z_log_decisions,-0.056401085293729766,0.05748093625509844,-0.9812137548251418,0.3264873425689221,177,66,6,OLS_clustered_by_participant,Mixed-effects dependency unavailable; fallback clustered OLS. SAT variation remains puzzle-level with 6 puzzles; no puzzle fixed effects included. Status=ok.
final_rating ~ z_log_decisions * expertise_composite + C(order),log_decisions,expertise_composite,expertise_composite,-0.06123536305186143,0.08071858987340472,-0.7586277603201459,0.4480752616349406,177,66,6,OLS_clustered_by_participant,Mixed-effects dependency unavailable; fallback clustered OLS. SAT variation remains puzzle-level with 6 puzzles; no puzzle fixed effects included. Status=ok.
final_rating ~ z_log_decisions * expertise_composite + C(order),log_decisions,expertise_composite,sat_x_expertise,-0.12309018580355645,0.05817222091145786,-2.115961602891322,0.034348073367202074,177,66,6,OLS_clustered_by_participant,Mixed-effects dependency unavailable; fallback clustered OLS. SAT variation remains puzzle-level with 6 puzzles; no puzzle fixed effects included. Status=ok.
final_rating ~ z_log_decisions * expertise_composite + C(order),log_decisions,expertise_composite,order_2,0.07917068796953393,0.1545144683026389,0.5123836546779988,0.6083825282624618,177,66,6,OLS_clustered_by_participant,Mixed-effects dependency unavailable; fallback clustered OLS. SAT variation remains puzzle-level with 6 puzzles; no puzzle fixed effects included. Status=ok.
final_rating ~ z_log_decisions * expertise_composite + C(order),log_decisions,expertise_composite,order_3,0.0737070675035707,0.18298977683902126,0.4027933624314536,0.6871002445018157,177,66,6,OLS_clustered_by_participant,Mixed-effects dependency unavailable; fallback clustered OLS. SAT variation remains puzzle-level with 6 puzzles; no puzzle fixed effects included. Status=ok.
final_rating ~ z_log_propagations * expertise_composite + C(order),log_propagations,expertise_composite,intercept,3.4056057624126397,0.12435108596729334,27.38702067554422,3.915332342421026e-165,177,66,6,OLS_clustered_by_participant,Mixed-effects dependency unavailable; fallback clustered OLS. SAT variation remains puzzle-level with 6 puzzles; no puzzle fixed effects included. Status=ok.
final_rating ~ z_log_propagations * expertise_composite + C(order),log_propagations,expertise_composite,z_log_propagations,-0.0013528042617256646,0.059614163689001486,-0.02269266526631238,0.9818954266001819,177,66,6,OLS_clustered_by_participant,Mixed-effects dependency unavailable; fallback clustered OLS. SAT variation remains puzzle-level with 6 puzzles; no puzzle fixed effects included. Status=ok.
final_rating ~ z_log_propagations * expertise_composite + C(order),log_propagations,expertise_composite,expertise_composite,-0.06275101814337516,0.07837559128808892,-0.8006449088558482,0.4233372442683251,177,66,6,OLS_clustered_by_participant,Mixed-effects dependency unavailable; fallback clustered OLS. SAT variation remains puzzle-level with 6 puzzles; no puzzle fixed effects included. Status=ok.
final_rating ~ z_log_propagations * expertise_composite + C(order),log_propagations,expertise_composite,sat_x_expertise,-0.15960109994503957,0.060758858568344926,-2.62679556044509,0.008619310193156048,177,66,6,OLS_clustered_by_participant,Mixed-effects dependency unavailable; fallback clustered OLS. SAT variation remains puzzle-level with 6 puzzles; no puzzle fixed effects included. Status=ok.
final_rating ~ z_log_propagations * expertise_composite + C(order),log_propagations,expertise_composite,order_2,0.07129689358009798,0.15748860851004676,0.4527114326211708,0.6507565460964211,177,66,6,OLS_clustered_by_participant,Mixed-effects dependency unavailable; fallback clustered OLS. SAT variation remains puzzle-level with 6 puzzles; no puzzle fixed effects included. Status=ok.
final_rating ~ z_log_propagations * expertise_composite + C(order),log_propagations,expertise_composite,order_3,0.054971456542770136,0.1839475913458953,0.29884303534805046,0.7650598130391935,177,66,6,OLS_clustered_by_participant,Mixed-effects dependency unavailable; fallback clustered OLS. SAT variation remains puzzle-level with 6 puzzles; no puzzle fixed effects included. Status=ok.
final_rating ~ z_log_sat_time * expertise_composite + C(order),log_sat_time,expertise_composite,intercept,3.3336074693239897,0.1179341693606779,28.26668036410061,8.878602852726562e-176,177,66,6,OLS_clustered_by_participant,Mixed-effects dependency unavailable; fallback clustered OLS. SAT variation remains puzzle-level with 6 puzzles; no puzzle fixed effects included. Status=ok.
final_rating ~ z_log_sat_time * expertise_composite + C(order),log_sat_time,expertise_composite,z_log_sat_time,0.27238569260401235,0.06475190276907851,4.206605226342273,2.5923540617317805e-05,177,66,6,OLS_clustered_by_participant,Mixed-effects dependency unavailable; fallback clustered OLS. SAT variation remains puzzle-level with 6 puzzles; no puzzle fixed effects included. Status=ok.
final_rating ~ z_log_sat_time * expertise_composite + C(order),log_sat_time,expertise_composite,expertise_composite,-0.04315007821173765,0.08156516353190282,-0.529025828469776,0.5967875327273714,177,66,6,OLS_clustered_by_participant,Mixed-effects dependency unavailable; fallback clustered OLS. SAT variation remains puzzle-level with 6 puzzles; no puzzle fixed effects included. Status=ok.
final_rating ~ z_log_sat_time * expertise_composite + C(order),log_sat_time,expertise_composite,sat_x_expertise,0.025118903377366882,0.06589538792023969,0.3811936490573666,0.7030595613265069,177,66,6,OLS_clustered_by_participant,Mixed-effects dependency unavailable; fallback clustered OLS. SAT variation remains puzzle-level with 6 puzzles; no puzzle fixed effects included. Status=ok.
final_rating ~ z_log_sat_time * expertise_composite + C(order),log_sat_time,expertise_composite,order_2,0.16848514595184025,0.14917795104100456,1.1294239180529346,0.2587190477794144,177,66,6,OLS_clustered_by_participant,Mixed-effects dependency unavailable; fallback clustered OLS. SAT variation remains puzzle-level with 6 puzzles; no puzzle fixed effects included. Status=ok.
final_rating ~ z_log_sat_time * expertise_composite + C(order),log_sat_time,expertise_composite,order_3,0.10845592795243866,0.17311998085257627,0.6264783961869569,0.5310012027425729,177,66,6,OLS_clustered_by_participant,Mixed-effects dependency unavailable; fallback clustered OLS. SAT variation remains puzzle-level with 6 puzzles; no puzzle fixed effects included. Status=ok.
