puzzle_id,mean_final_rating,median_final_rating,mean_centered_final_rating,completion_rate,mean_initial_rating,mean_rating_change,mean_human_time_to_solve,conflicts,decisions,propagations,sat_time_to_solve,log_conflicts,log_decisions,log_propagations,log_sat_time
0,3.52,4.0,-0.019999999999999973,0.896551724137931,3.5357142857142856,0.04,666.0556450384615,0,4,313,0.063,0.0,1.6094379124341003,5.749392985908253,0.061095099359810875
1,3.4827586206896552,4.0,0.1206896551724138,0.7894736842105263,3.081081081081081,0.06896551724137931,508.30023546666666,0,2,307,0.022,0.0,1.0986122886681098,5.730099782973574,0.02176149178151269
2,2.56,2.0,-0.66,0.8333333333333334,2.5357142857142856,-0.08,405.20318924,4,8,417,0.035,1.6094379124341003,2.1972245773362196,6.035481432524756,0.0344014267173324
3,4.0,4.0,0.3817204301075269,0.9117647058823529,4.147058823529412,-0.0967741935483871,850.9175348064516,15,31,1063,0.052,2.772588722239781,3.4657359027997265,6.96979066990159,0.050693114315518116
4,3.4827586206896552,4.0,0.12068965517241381,0.9354838709677419,3.4838709677419355,0.10344827586206896,650.0939035517242,15,40,1133,0.071,2.772588722239781,3.713572066704308,7.033506484287697,0.06859279146561172
5,3.4,3.0,-0.052380952380952334,0.8333333333333334,2.7857142857142856,0.0,590.3213918857142,4,13,453,0.076,1.6094379124341003,2.6390573296152584,6.118097198041348,0.07325046173959267
