sat_variable,raw_spearman,adjusted_spearman,change_in_spearman,raw_kendall,adjusted_kendall,raw_pearson,adjusted_pearson
conflicts,-0.36380343755449945,-0.23904572186687872,0.12475771568762073,-0.23145502494313785,-0.14907119849998599,0.004283120560172424,0.005835650942293088
decisions,-0.49280538030458115,-0.37142857142857144,0.12137680887600971,-0.2760262237369417,-0.2,-0.09200135830799326,-0.09262616996632689
propagations,-0.49280538030458115,-0.37142857142857144,0.12137680887600971,-0.2760262237369417,-0.2,-0.0008705592062814906,-0.0005261510044896355
sat_time_to_solve,0.6957252427829381,0.7714285714285715,0.07570332864563334,0.5520524474738834,0.6,0.6316188563927707,0.6299336287858094
log_conflicts,-0.36380343755449945,-0.23904572186687872,0.12475771568762073,-0.23145502494313785,-0.14907119849998599,-0.07807727553324233,-0.07464754668258733
log_decisions,-0.49280538030458115,-0.37142857142857144,0.12137680887600971,-0.2760262237369417,-0.2,-0.17921508799896332,-0.17828020822828522
log_propagations,-0.49280538030458115,-0.37142857142857144,0.12137680887600971,-0.2760262237369417,-0.2,-0.040255023253054266,-0.03911337966196076
log_sat_time,0.6957252427829381,0.7714285714285715,0.07570332864563334,0.5520524474738834,0.6,0.6357015413103172,0.6343124752319113
