restarts,conflicts,decisions,propagations,puzzle_id,solving_time,nvars_input,nclauses_input,nvars_solver,nclauses_solver
1,5,17,421,592,1.3,321,1248,321,352
1,0,4,309,593,1.38,308,1203,308,241
1,1,5,337,594,1.17,330,1220,330,950
1,4,11,426,595,2.09,322,1262,322,1262
1,0,4,324,596,1.29,323,1277,323,1277
1,6,11,459,597,1.33,318,1301,318,1301
1,3,11,325,598,1.18,306,1134,306,1008
1,1,6,419,599,1.71,317,1221,317,1221
1,4,12,466,600,1.57,327,1280,327,1280
1,4,14,416,601,1.23,304,1182,304,828
1,11,29,1263,602,1.28,306,1203,306,1203
1,21,53,1417,603,1.47,324,1349,324,1349
1,9,24,747,604,1.37,313,1276,313,1067
1,2,25,560,605,1.78,326,1316,326,759
1,13,27,1066,606,1.27,309,1229,309,1229
1,11,40,1385,607,2.45,329,1261,329,1261
1,15,34,782,608,1.58,313,1292,313,1292
1,1,6,311,609,1.17,308,1198,308,478
1,8,17,549,610,1.21,313,1207,313,1207
1,10,26,533,611,2.35,330,1232,330,604
1,4,10,417,612,1.18,310,1175,310,844
1,5,28,552,613,1.58,315,1362,315,1362
1,1,6,416,614,1.27,325,1219,325,492
1,14,31,993,615,2.25,328,1248,328,1248
1,4,15,357,616,1.52,314,1264,314,220
1,7,21,670,617,1.21,312,1219,312,1219
1,2,19,434,618,1.56,329,1266,329,288
1,7,28,923,619,2.57,319,1253,319,1253
1,0,3,319,620,1.84,318,1262,318,25
1,16,27,1109,621,1.34,330,1265,330,1161
1,11,26,665,622,2.85,315,1212,315,1212
1,18,79,1331,623,1.45,319,1265,319,1265
1,11,44,946,624,1.38,328,1338,328,1059
1,5,13,500,625,1.29,319,1280,319,1280
1,1,11,316,626,1.73,313,1290,313,926
1,2,12,362,627,1.25,299,1257,299,1257
1,9,21,448,628,1.26,327,1263,327,323
1,6,28,586,629,1.23,311,1229,311,895
1,0,2,290,630,1.13,289,1161,289,0
1,2,9,321,631,1.39,304,1156,304,572
1,4,9,331,632,1.2,318,1273,318,174
1,21,69,1695,633,1.31,337,1305,337,1305
1,2,6,350,634,1.17,301,1189,301,115
1,6,22,597,635,1.27,319,1197,319,1197
1,2,12,374,636,1.23,309,1289,309,1289
1,5,10,348,637,1.12,299,1214,299,1214
1,0,4,323,638,1.16,322,1257,322,1257
1,11,36,1118,639,1.24,329,1275,329,1275
1,11,25,798,640,1.46,306,1189,306,1073
1,4,21,467,641,1.26,329,1294,329,770
1,15,38,1052,642,1.26,327,1286,327,1080
1,2,19,534,643,1.11,312,1205,312,1050
1,5,26,519,644,1.17,306,1249,306,1249
1,1,4,317,645,2.47,313,1184,313,9
1,10,19,925,646,1.31,310,1193,310,1193
1,0,2,321,647,1.09,320,1153,320,0
1,5,11,392,648,1.17,311,1212,311,872
1,1,4,318,649,1.13,315,1228,315,167
1,4,10,529,650,1.75,304,1159,304,825
1,14,46,1134,651,1.26,337,1287,337,1287
1,11,31,723,652,1.22,317,1267,317,1267
1,1,6,319,653,1.18,316,1257,316,129
1,10,31,1100,654,1.69,322,1244,322,1244
1,4,7,423,655,1.17,316,1218,316,774
1,2,7,436,656,1.18,308,1207,308,932
1,8,19,495,657,1.19,324,1213,324,616
1,4,29,815,658,1.17,334,1218,334,1218
1,6,23,531,659,1.41,325,1257,325,1257
1,6,15,592,660,1.13,312,1235,312,1149
